Item ID,Item Lookup Type ID,Name,Description,UDF01,UDF02,UDF03,UDF04,UDF05,UDF06,UDF07,UDF08,UDF09,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF20
1586,1,22-TH-0075-XXX,"3/4"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 1000 psi (WOG), F03/F04/F05 B.C. W/RTFE Seats",,,,,,,,,,,,,,,,,,,,
1587,1,22-TH-0100-SXX,"1"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 1000 psi (WOG), F04/F05 B.C. W/50% STFE Seats",,,,,,,,,,,,,,,,,,,,
1588,1,22-TH-0100-XXX,"1"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 1000 psi (WOG), F04/F05 B.C. W/RTFE Seats",,,,,,,,,,,,,,,,,,,,
1589,1,22-TH-0100-XXX-O,"1"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 1000 psi (WOG), F04/F05 B.C., RTFE Seats with Low Temperature NBR Body Gasket O-Ring for Gas Service.",,,,,,,,,,,,,,,,,,,,
1590,1,22-TH-0125-XXX,"1-1/4"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 1000 psi (WOG), F04/F05 B.C. W/RTFE Seats",,,,,,,,,,,,,,,,,,,,
1591,1,22-TH-0150-XXX,"1-1/2"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 1000 psi (WOG), F05/F07 B.C. W/RTFE Seats",,,,,,,,,,,,,,,,,,,,
1592,1,22-TH-0200-SXX,"2"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 1000 psi (WOG) by Size, F05/F07 B.C. W/ STFE Seats",,,,,,,,,,,,,,,,,,,,
1593,1,22-TH-0200-XXX,"2"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 1000 psi (WOG) by Size, F05/F07 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1594,1,22-TH-0200-XXX-O,"2"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 1000 psi (WOG), F05/F07 B.C., RTFE Seats with Low Temperature NBR Body Gasket O-Ring for Gas Service.",,,,,,,,,,,,,,,,,,,,
1595,1,22-TH-0250-XXX,"2-1/2"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 800 psi (WOG), F05/F07 B.C. W/RTFE Seats",,,,,,,,,,,,,,,,,,,,
1596,1,22-TH-0300-XXX,"3"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 800 psi, (WOG), F07/F10 B.C. W/RTFE Seats",,,,,,,,,,,,,,,,,,,,
1597,1,22-TH-0300-XXX-O,"3"" Series 22, 2-Piece, 316 Stainless Steel Ball Valve, Full Port, 1000 psi (WOG), F07/F10 B.C., RTFE Seats with Low Temperature NBR Body Gasket O-Ring for Gas Service.",,,,,,,,,,,,,,,,,,,,
1598,1,24-TH-0025-DXX,"1/4"" 24 Series 2-Piece High Pressure, 316SST BV 3000psi (WOG)Threaded Ends, Full Port, F03/F04/F05 B.C., W/ Delrin Seats.  Firesafe Design, NACE MR-0175 Standard.",,,,,,,,,,,,,,,,,,,,
1599,1,24-TH-0025-ZXX,"1/4"" 24 Series 2-Piece High Pressure, 316SST BV 3000psi (WOG)Threaded Ends, Full Port, F03/F04/F05 B.C., W/ PEEK Seats.  Firesafe Design, NACE MR-0175 Standard.",,,,,,,,,,,,,,,,,,,,
1600,1,24-TH-0038-DXX,"3/8"" 24 Series 2-Piece High Pressure, 316SST BV 3000psi (WOG)Threaded Ends, Full Port, F03/F04/F05 B.C., W/ Delrin Seats. Firesafe Design, NACE MR-0175 Standard.",,,,,,,,,,,,,,,,,,,,
1601,1,24-TH-0050-DXX,"1/2"" 24 Series 2-Piece High Pressure, 316SST BV 3000psi (WOG)Threaded Ends, Full Port, F03/F04/F05 B.C., W/ Delrin Seats.  Firesafe Design, NACE MR-0175 Standard.",,,,,,,,,,,,,,,,,,,,
1602,1,24-TH-0075-DXX,"3/4"" 24 Series 2-Piece High Pressure, 316SST BV 3000psi (WOG)Threaded Ends, Full Port, F03/F04/F05 B.C., W/ Delrin Seats.  Firesafe Design, NACE MR-0175 Standard.",,,,,,,,,,,,,,,,,,,,
1603,1,24-TH-0100-DXX,"1"" 24 Series 2-Piece High Pressure, 316SST BV 3000psi (WOG)Threaded Ends, Full Port,F04/F05 B.C., W/ Delrin Seats.  Firesafe Design, NACE MR-0175 Standard.",,,,,,,,,,,,,,,,,,,,
1604,1,24-TH-0125-DXX,"1-1/4"" 24 Series 2-Piece High Pressure, 316SST BV 3000psi (WOG)Threaded Ends, Full Port, F04/F05 B.C., W/ Delrin Seats.  Firesafe Design, NACE MR-0175 Standard.",,,,,,,,,,,,,,,,,,,,
1605,1,24-TH-0150-DXX,"1-1/2"" 24 Series 2-Piece High Pressure, 316SST BV 3000psi (WOG)Threaded Ends, Full Port, F05/F07 B.C., W/ Delrin Seats.  Firesafe Design, NACE MR-0175 Standard.",,,,,,,,,,,,,,,,,,,,
1606,1,24-TH-0200-DXX,"2"" 24 Series 2-Piece High Pressure, 316SST BV 3000psi (WOG)Threaded Ends, Reduced Port, F05/F07 B.C., W/ Delrin Seats.  Firesafe Design, NACE MR-0175 Standard.",,,,,,,,,,,,,,,,,,,,
1607,1,30C-F1-0150-ILF,"1-1/2"" 3-Way, L-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F05 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1608,1,30C-F1-0150-ITF,"1-1/2"" 3-Way, T-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F05 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1609,1,30C-F1-0200-ILF,"2"" 3-Way, L-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F07 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1610,1,30C-F1-0200-ITF,"2"" 3-Way, T-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F07 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1611,1,30C-F1-0250-SLF,"2-1/2"" 3-Way, L-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F07 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
