SerialNo.,HeatNo.,Component,A-TPartNo.,Size,Material,EndStyle,Notes,VendorNo.,PONo.,ShipmentReference,Date,FileName(exact).pdf
,8A36W,BODY,21C-TH-0075-XXX,"3/4""",WCB,TH,,MAR001,56109,ATC32709B-a 21C-TH,2021-01-22,ATC32709B-a 21C-TH.pdf
,9SYHW,BODY,21C-TH-0075-XXX,"3/4""",WCB,TH,,MAR001,56109,ATC32709B-a 21C-TH,2021-01-22,ATC32709B-a 21C-TH.pdf
,0AYBW,END CAP,21C-TH-0075-XXX,"3/4""",WCB,TH,,MAR001,56109,ATC32709B-a 21C-TH,2021-01-22,ATC32709B-a 21C-TH.pdf
,0AZGW,END CAP,21C-TH-0075-XXX,"3/4""",WCB,TH,,MAR001,56109,ATC32709B-a 21C-TH,2021-01-22,ATC32709B-a 21C-TH.pdf
,0EKFS,BODY,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0KNWS,BODY,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0L7MS,BODY,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0L7NS,BODY,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0LPKS,BODY,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0LPLS,BODY,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0FD2S,END CAP,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0KQ3S,END CAP,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0LHPS,END CAP,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0LHQS,END CAP,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0LHRS,END CAP,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0LP5S,END CAP,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0LRWS,END CAP,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0Z23S,END CAP,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,9LUYS,END CAP,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,9LUZS,END CAP,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,9LW2S,END CAP,83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56111,ATC32711B 83-TH,2021-01-22,ATC32711B 83-TH.pdf
,0FXCS,BODY,8R-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56112,ATC32712A 8R-TH,2021-01-22,ATC32712A 8R-TH.pdf
,0EJCS,END CAP,8R-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56112,ATC32712A 8R-TH,2021-01-22,ATC32712A 8R-TH.pdf
,0FBTS,END CAP,8R-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56112,ATC32712A 8R-TH,2021-01-22,ATC32712A 8R-TH.pdf
,9GEHS,END CAP,8R-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56112,ATC32712A 8R-TH,2021-01-22,ATC32712A 8R-TH.pdf
,0E5TS,BODY,88-TH-0025-XXX,"1/4""",CF8M,TH,,MAR001,56112,ATC32712A-a 88-TH,2021-01-22,ATC32712A-a 88-TH.pdf
,0KJAS,BODY,88-TH-0025-XXX,"1/4""",CF8M,TH,,MAR001,56112,ATC32712A-a 88-TH,2021-01-22,ATC32712A-a 88-TH.pdf
,0LCYS,BODY,88-TH-0025-XXX,"1/4""",CF8M,TH,,MAR001,56112,ATC32712A-a 88-TH,2021-01-22,ATC32712A-a 88-TH.pdf
,9GJSS,BODY,88-TH-0025-XXX,"1/4""",CF8M,TH,,MAR001,56112,ATC32712A-a 88-TH,2021-01-22,ATC32712A-a 88-TH.pdf
,0M5LS,END CAP,88-TH-0025-XXX,"1/4""",CF8M,TH,,MAR001,56112,ATC32712A-a 88-TH,2021-01-22,ATC32712A-a 88-TH.pdf
,0M74S,END CAP,88-TH-0025-XXX,"1/4""",CF8M,TH,,MAR001,56112,ATC32712A-a 88-TH,2021-01-22,ATC32712A-a 88-TH.pdf
,9S9CS,END CAP,88-TH-0025-XXX,"1/4""",CF8M,TH,,MAR001,56112,ATC32712A-a 88-TH,2021-01-22,ATC32712A-a 88-TH.pdf
,0FUXS,BODY,88-SW-0075-XXX,"3/4""",CF8M,SW,,MAR001,56112,ATC32712A-b 88-SW,2021-01-22,ATC32712A-b 88-SW.pdf
,0LTZS,BODY,88-SW-0075-XXX,"3/4""",CF8M,SW,,MAR001,56112,ATC32712A-b 88-SW,2021-01-22,ATC32712A-b 88-SW.pdf
,0E6FS,BODY,88-SW-0150-XXX,"1-1/2""",CF8M,SW,,MAR001,56112,ATC32712A-b 88-SW,2021-01-22,ATC32712A-b 88-SW.pdf
,0E6HS,BODY,88-SW-0150-XXX,"1-1/2""",CF8M,SW,,MAR001,56112,ATC32712A-b 88-SW,2021-01-22,ATC32712A-b 88-SW.pdf
,0K5PS,BODY,88-SW-0150-XXX,"1-1/2""",CF8M,SW,,MAR001,56112,ATC32712A-b 88-SW,2021-01-22,ATC32712A-b 88-SW.pdf
,0L6VS,BODY,88-SW-0150-XXX,"1-1/2""",CF8M,SW,,MAR001,56112,ATC32712A-b 88-SW,2021-01-22,ATC32712A-b 88-SW.pdf
,0L6WS,BODY,88-SW-0150-XXX,"1-1/2""",CF8M,SW,,MAR001,56112,ATC32712A-b 88-SW,2021-01-22,ATC32712A-b 88-SW.pdf
,0KOKL,END CAP,88-SW-0075-XXX,"3/4""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,0K8TL,END CAP,88-SW-0075-XXX,"3/4""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,0KE4L,END CAP,88-SW-0075-XXX,"3/4""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,0KE5L,END CAP,88-SW-0075-XXX,"3/4""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,0L91L,END CAP,88-SW-0075-XXX,"3/4""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,9L7BL,END CAP,88-SW-0075-XXX,"3/4""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,9L7CL,END CAP,88-SW-0075-XXX,"3/4""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,0K3GL,END CAP,88-SW-0150-XXX,"1-1/2""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,0K3HL,END CAP,88-SW-0150-XXX,"1-1/2""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,0K3IL,END CAP,88-SW-0150-XXX,"1-1/2""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,0KUUL,END CAP,88-SW-0150-XXX,"1-1/2""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,0KUVL,END CAP,88-SW-0150-XXX,"1-1/2""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,9L7FL,END CAP,88-SW-0150-XXX,"1-1/2""",CF3M,SW,,MAR001,56112,ATC32712A-c 88-SW,2021-01-22,ATC32712A-c 88-SW.pdf
,0LJSS,BODY,90-F1-0250-XXX,"2-1/2""",CF8M,F1,,MAR001,56112,ATC32712A-d 90-F1,2021-01-22,ATC32712A-d 90-F1.pdf
,9LO2S,BODY,90-F1-0250-XXX,"2-1/2""",CF8M,F1,,MAR001,56112,ATC32712A-d 90-F1,2021-01-22,ATC32712A-d 90-F1.pdf
,9RNAS,BODY,90-F1-0250-XXX,"2-1/2""",CF8M,F1,,MAR001,56112,ATC32712A-d 90-F1,2021-01-22,ATC32712A-d 90-F1.pdf
,0KSCS,END CAP,90-F1-0250-XXX,"2-1/2""",CF8M,F1,,MAR001,56112,ATC32712A-d 90-F1,2021-01-22,ATC32712A-d 90-F1.pdf
,0KSDS,END CAP,90-F1-0250-XXX,"2-1/2""",CF8M,F1,,MAR001,56112,ATC32712A-d 90-F1,2021-01-22,ATC32712A-d 90-F1.pdf
,9EY3S,END CAP,90-F1-0250-XXX,"2-1/2""",CF8M,F1,,MAR001,56112,ATC32712A-d 90-F1,2021-01-22,ATC32712A-d 90-F1.pdf
,9EY4S,END CAP,90-F1-0250-XXX,"2-1/2""",CF8M,F1,,MAR001,56112,ATC32712A-d 90-F1,2021-01-22,ATC32712A-d 90-F1.pdf
,0KFDW,BODY,90C-F1-0075-XXX,"3/4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,0KFTW,BODY,90C-F1-0075-XXX,"3/4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,0KFBW,END CAP,90C-F1-0075-XXX,"3/4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,9S14W,END CAP,90C-F1-0075-XXX,"3/4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,0KYGW,BODY,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,0KYHW,BODY,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,0KYJW,BODY,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,0KYJW,BODY,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,0KY9W,END CAP,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,0KYAW,END CAP,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,0KYBW,END CAP,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,9K9FW,END CAP,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,9K9KW,END CAP,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,9K9NW,END CAP,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,9LR2W,END CAP,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,9LRCW,END CAP,90C-F1-0400-XXX,"4""",WCB,F1,,MAR001,56112,ATC32712A-e 90C-F1,2021-01-22,ATC32712A-e 90C-F1.pdf
,0EKFS,BODY,F83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56113,ATC32713A F83-TH,2021-01-22,ATC32713A F83-TH.pdf
,0RN1S,BODY,F83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56113,ATC32713A F83-TH,2021-01-22,ATC32713A F83-TH.pdf
,0RN2S,BODY,F83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56113,ATC32713A F83-TH,2021-01-22,ATC32713A F83-TH.pdf
,0KQ3S,END CAP,F83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56113,ATC32713A F83-TH,2021-01-22,ATC32713A F83-TH.pdf
,0KQ4S,END CAP,F83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56113,ATC32713A F83-TH,2021-01-22,ATC32713A F83-TH.pdf
,0LHPS,END CAP,F83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56113,ATC32713A F83-TH,2021-01-22,ATC32713A F83-TH.pdf
,0LHQS,END CAP,F83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56113,ATC32713A F83-TH,2021-01-22,ATC32713A F83-TH.pdf
,0LHRS,END CAP,F83-TH-0050-XXX,"1/2""",CF8M,TH,,MAR001,56113,ATC32713A F83-TH,2021-01-22,ATC32713A F83-TH.pdf
,0FXCS,BODY,F8R-SW-0050-XXX,"1/2""",CF8M,SW,,MAR001,56113,ATC32713A-a F8R-SW,2021-01-22,ATC32713A-a F8R-SW.pdf
,9GJRS,BODY,F8R-SW-0050-XXX,"1/2""",CF8M,SW,,MAR001,56113,ATC32713A-a F8R-SW,2021-01-22,ATC32713A-a F8R-SW.pdf
,0KU7L,END CAP,F8R-SW-0050-XXX,"1/2""",CF3M,SW,,MAR001,56113,ATC32713A-b F8R-SW,2021-01-22,ATC32713A-b F8R-SW.pdf
,0K8VS,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9GLBS,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9GZ3S,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9GZ4S,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9GZ5S,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9GZ6S,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9GZ7S,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9GZ8S,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9GZAS,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9GZCS,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9KMDS,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9KMES,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9KMFS,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9KMGS,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,9LVNS,BODY,F88-SW-0200-XXX,"2""",CF8M,SW,,MAR001,56113,ATC32713A-c F88-SW,2021-01-22,ATC32713A-c F88-SW.pdf
,0KS2L,END CAP,F88-SW-0200-XXX,"2""",CF3M,SW,,MAR001,56113,ATC32713A-d F88-SW,2021-01-22,ATC32713A-d F88-SW.pdf
,0KS3L,END CAP,F88-SW-0200-XXX,"2""",CF3M,SW,,MAR001,56113,ATC32713A-d F88-SW,2021-01-22,ATC32713A-d F88-SW.pdf
,0KS4L,END CAP,F88-SW-0200-XXX,"2""",CF3M,SW,,MAR001,56113,ATC32713A-d F88-SW,2021-01-22,ATC32713A-d F88-SW.pdf
,0KUCL,END CAP,F88-SW-0200-XXX,"2""",CF3M,SW,,MAR001,56113,ATC32713A-d F88-SW,2021-01-22,ATC32713A-d F88-SW.pdf
,0KUDL,END CAP,F88-SW-0200-XXX,"2""",CF3M,SW,,MAR001,56113,ATC32713A-d F88-SW,2021-01-22,ATC32713A-d F88-SW.pdf
,0KUEL,END CAP,F88-SW-0200-XXX,"2""",CF3M,SW,,MAR001,56113,ATC32713A-d F88-SW,2021-01-22,ATC32713A-d F88-SW.pdf
,0L8DL,END CAP,F88-SW-0200-XXX,"2""",CF3M,SW,,MAR001,56113,ATC32713A-d F88-SW,2021-01-22,ATC32713A-d F88-SW.pdf
,0L8EL,END CAP,F88-SW-0200-XXX,"2""",CF3M,SW,,MAR001,56113,ATC32713A-d F88-SW,2021-01-22,ATC32713A-d F88-SW.pdf
,0L8FL,END CAP,F88-SW-0200-XXX,"2""",CF3M,SW,,MAR001,56113,ATC32713A-d F88-SW,2021-01-22,ATC32713A-d F88-SW.pdf
,07YBW,BODY,F88C-SW-0300-XXX,"3""",WCB,SW,,MAR001,56113,ATC32713A-e F88C-SW,2021-01-22,ATC32713A-e F88C-SW.pdf
,07YCW,BODY,F88C-SW-0300-XXX,"3""",WCB,SW,,MAR001,56113,ATC32713A-e F88C-SW,2021-01-22,ATC32713A-e F88C-SW.pdf
,0M3FW,END CAP,F88C-SW-0300-XXX,"3""",WCB,SW,,MAR001,56113,ATC32713A-e F88C-SW,2021-01-22,ATC32713A-e F88C-SW.pdf
,0M3GW,END CAP,F88C-SW-0300-XXX,"3""",WCB,SW,,MAR001,56113,ATC32713A-e F88C-SW,2021-01-22,ATC32713A-e F88C-SW.pdf
,0N4PW,END CAP,F88C-SW-0300-XXX,"3""",WCB,SW,,MAR001,56113,ATC32713A-e F88C-SW,2021-01-22,ATC32713A-e F88C-SW.pdf
,0N4RW,END CAP,F88C-SW-0300-XXX,"3""",WCB,SW,,MAR001,56113,ATC32713A-e F88C-SW,2021-01-22,ATC32713A-e F88C-SW.pdf
,0EX1S,BODY,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0KK7S,BODY,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0KXAS,BODY,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0KXBS,BODY,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0LUVS,BODY,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0LUWS,BODY,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0LUXS,BODY,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0LUYS,BODY,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0LUZS,BODY,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0EENS,END CAP,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0EEPS,END CAP,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0EEQS,END CAP,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0EESS,END CAP,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0EX6S,END CAP,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0EX7S,END CAP,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,0EX8S,END CAP,D9-F1-0300-XXX,"3""",CF8M,F1,,MAR001,56113,ATC32713A-f D9-F1,2021-01-22,ATC32713A-f D9-F1.pdf
,8LYIW,BODY,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,9KPKW,BODY,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,9KPLW,BODY,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,9KPMW,BODY,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,9KPNW,BODY,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,9KPOW,BODY,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,9KPSW,BODY,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,9KPTW,BODY,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,9KPUW,BODY,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,0KKEW,END CAP,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,0KKJW,END CAP,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,0KY1W,END CAP,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,0KY2W,END CAP,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,0KY3W,END CAP,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,0KY4W,END CAP,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,0KY5W,END CAP,F90C-F1-0300-XXX,"3""",WCB,F1,,MAR001,56114,ATC32714A F90C-F1,2021-01-22,ATC32714A F90C-F1.pdf
,0M6CS,BODY,FD9-F3-0075-XXX,"3/4""",CF8M,F3,,MAR001,56114,ATC32714A-a FD9-F3,2021-01-22,ATC32714A-a FD9-F3.pdf
,0F7DS,END CAP,FD9-F3-0075-XXX,"3/4""",CF8M,F3,,MAR001,56114,ATC32714A-a FD9-F3,2021-01-22,ATC32714A-a FD9-F3.pdf
,8A8YW,BODY,FD9C-F3-0075-XXX,"3/4""",WCB,F3,,MAR001,56114,ATC32714A-b FD9C-F3,2021-01-22,ATC32714A-b FD9C-F3.pdf
,9K16W,BODY,FD9C-F3-0075-XXX,"3/4""",WCB,F3,,MAR001,56114,ATC32714A-b FD9C-F3,2021-01-22,ATC32714A-b FD9C-F3.pdf
,8A8ZW,END CAP,FD9C-F3-0075-XXX,"3/4""",WCB,F3,,MAR001,56114,ATC32714A-b FD9C-F3,2021-01-22,ATC32714A-b FD9C-F3.pdf
,8B8NW,END CAP,FD9C-F3-0075-XXX,"3/4""",WCB,F3,,MAR001,56114,ATC32714A-b FD9C-F3,2021-01-22,ATC32714A-b FD9C-F3.pdf
,9K18W,END CAP,FD9C-F3-0075-XXX,"3/4""",WCB,F3,,MAR001,56114,ATC32714A-b FD9C-F3,2021-01-22,ATC32714A-b FD9C-F3.pdf
,0KJAS,BODY,V8TH0050SXX3,"1/2""",CF8M,TH,,MAR001,56115,ATC32715A V8TH,2021-01-22,ATC32715A V8TH.pdf
,0KQ4S,END CAP,V8TH0050SXX3,"1/2""",CF8M,TH,,MAR001,56115,ATC32715A V8TH,2021-01-22,ATC32715A V8TH.pdf
,0LRWS,END CAP,V8TH0050SXX3,"1/2""",CF8M,TH,,MAR001,56115,ATC32715A V8TH,2021-01-22,ATC32715A V8TH.pdf
,0FUXS,BODY,V8TH0075SXX3,"3/4""",CF8M,TH,,MAR001,56115,ATC32715A V8TH,2021-01-22,ATC32715A V8TH.pdf
,0LTZS,BODY,V8TH0075SXX3,"3/4""",CF8M,TH,,MAR001,56115,ATC32715A V8TH,2021-01-22,ATC32715A V8TH.pdf
,0E8XS,END CAP,V8TH0075SXX3 STFE /NP,"3/4""",CF8M,TH,,MAR001,56115,ATC32715A V8TH,2021-01-22,ATC32715A V8TH.pdf
,0E8YS,END CAP,V8TH0075SXX3,"3/4""",CF8M,TH,,MAR001,56115,ATC32715A V8TH,2021-01-22,ATC32715A V8TH.pdf
,0E5TS,BODY,V8TH0050SXX6,"1/2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,0KJAS,BODY,V8TH0050SXX6,"1/2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
